id,original_title,popularity,title,vote_average,release_year
862,Toy Story,21.946943,Toy Story,7.7,1995
8844,Jumanji,17.015539,Jumanji,6.9,1995
15602,Grumpier Old Men,11.7129,Grumpier Old Men,6.5,1995
31357,Waiting to Exhale,3.859495,Waiting to Exhale,6.1,1995
11862,Father of the Bride Part II,8.387519000000001,Father of the Bride Part II,5.7,1995
949,Heat,17.924927,Heat,7.7,1995
11860,Sabrina,6.677277,Sabrina,6.2,1995
45325,Tom and Huck,2.5611610000000002,Tom and Huck,5.4,1995
9091,Sudden Death,5.23158,Sudden Death,5.5,1995
710,GoldenEye,14.686035999999998,GoldenEye,6.6,1995
9087,The American President,6.318445,The American President,6.5,1995
12110,Dracula: Dead and Loving It,5.430331,Dracula: Dead and Loving It,5.7,1995
21032,Balto,12.140733,Balto,7.1,1995
10858,Nixon,5.092,Nixon,7.1,1995
1408,Cutthroat Island,7.284477000000001,Cutthroat Island,5.7,1995
524,Casino,10.137389,Casino,7.8,1995
4584,Sense and Sensibility,10.673167,Sense and Sensibility,7.2,1995
5,Four Rooms,9.026586,Four Rooms,6.5,1995
9273,Ace Ventura: When Nature Calls,8.205447999999999,Ace Ventura: When Nature Calls,6.1,1995
11517,Money Train,7.337905999999999,Money Train,5.4,1995
8012,Get Shorty,12.669608,Get Shorty,6.4,1995
1710,Copycat,10.701801,Copycat,6.5,1995
9691,Assassins,11.065939,Assassins,6.0,1995
12665,Powder,12.133094,Powder,6.3,1995
451,Leaving Las Vegas,10.332025,Leaving Las Vegas,7.1,1995
16420,Othello,1.8458990000000002,Othello,7.0,1995
9263,Now and Then,8.681325,Now and Then,6.6,1995
17015,Persuasion,2.228434,Persuasion,7.4,1995
902,La Cité des Enfants Perdus,9.822422999999999,The City of Lost Children,7.6,1995
37557,摇啊摇，摇到外婆桥,1.1009149999999999,Shanghai Triad,6.5,1995
9909,Dangerous Minds,9.481338000000001,Dangerous Minds,6.4,1995
63,Twelve Monkeys,12.297305,Twelve Monkeys,7.4,1995
78802,"Guillaumet, les ailes du courage",0.745542,Wings of Courage,6.8,1996
9598,Babe,14.404764000000002,Babe,6.0,1995
47018,Carrington,1.4933610000000002,Carrington,6.4,1995
687,Dead Man Walking,6.891317,Dead Man Walking,7.3,1995
139405,Across the Sea of Time,0.114469,Across the Sea of Time,3.5,1995
33689,It Takes Two,7.777735000000001,It Takes Two,6.1,1995
9603,Clueless,9.882383,Clueless,6.9,1995
34615,"Cry, the Beloved Country",0.894647,"Cry, the Beloved Country",6.7,1995
31174,Richard III,4.561387,Richard III,6.9,1995
11443,Dead Presidents,9.87957,Dead Presidents,6.6,1995
35196,Restoration,10.979269,Restoration,6.3,1995
9312,Mortal Kombat,10.870138,Mortal Kombat,5.4,1995
577,To Die For,10.448481,To Die For,6.7,1995
11861,How To Make An American Quilt,4.485958,How To Make An American Quilt,6.5,1995
807,Se7en,18.45743,Se7en,8.1,1995
10530,Pocahontas,13.280069000000001,Pocahontas,6.7,1995
8391,When Night Is Falling,3.302524,When Night Is Falling,5.9,1995
629,The Usual Suspects,16.302466,The Usual Suspects,8.1,1995
117164,Guardian Angel,0.595949,Guardian Angel,6.3,1994
11448,Mighty Aphrodite,15.899134,Mighty Aphrodite,6.7,1995
49133,Lamerica,1.361286,Lamerica,7.7,1994
26441,The Big Green,5.9827639999999995,The Big Green,5.2,1995
97406,Georgia,4.093443,Georgia,6.1,1995
124057,Kids of the Round Table,0.307075,Kids of the Round Table,3.0,1997
9089,Home for the Holidays,8.416802,Home for the Holidays,6.3,1995
11010,Il postino,10.168436999999999,The Postman,7.6,1994
99040,Le confessionnal,0.12078900000000001,The Confessional,6.5,1995
11359,The Indian in the Cupboard,10.673296,The Indian in the Cupboard,5.9,1995
17182,Eye for an Eye,4.733526,Eye for an Eye,5.8,1996
2054,Mr. Holland's Opus,7.137117,Mr. Holland's Opus,6.9,1995
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,1996
19760,Two If by Sea,2.174487,Two If by Sea,4.5,1996
9536,Bio-Dome,6.387469,Bio-Dome,4.4,1996
11525,Lawnmower Man 2: Beyond Cyberspace,2.49535,Lawnmower Man 2: Beyond Cyberspace,2.8,1996
40628,Two Bits,4.046208,Two Bits,5.4,1995
4482,Gazon maudit,2.518051,French Twist,6.0,1995
10634,Friday,14.56965,Friday,7.0,1995
755,From Dusk Till Dawn,15.339153,From Dusk Till Dawn,6.9,1996
11859,Fair Game,5.912223,Fair Game,4.1,1995
28387,Kicking and Screaming,3.3672760000000004,Kicking and Screaming,7.0,1995
48750,Les misérables,1.4794459999999998,Les Miserables,6.6,1995
20927,Bed of Roses,10.412194,Bed of Roses,5.1,1996
36929,Big Bully,2.936443,Big Bully,3.9,1996
9102,Screamers,12.758848,Screamers,6.1,1995
124626,Nico Icon,0.133893,Nico Icon,7.3,1995
27526,The Crossing Guard,5.756462,The Crossing Guard,6.1,1995
9623,The Juror,6.010579,The Juror,5.5,1996
46785,بادکنک سفید,1.196256,The White Balloon,7.5,1995
400,Things to Do in Denver When You're Dead,4.486179,Things to Do in Denver When You're Dead,6.7,1995
880,Antonia,2.030174,Antonia's Line,7.2,1995
146599,Once Upon a Time... When We Were Colored,0.252287,Once Upon a Time... When We Were Colored,4.5,1996
188588,Last Summer in the Hamptons,0.531159,Last Summer in the Hamptons,6.102169981916822,1995
8447,Angels and Insects,2.1516599999999997,Angels and Insects,6.3,1995
10534,White Squall,9.568603999999999,White Squall,6.3,1996
17414,Dunston Checks In,4.814825,Dunston Checks In,5.1,1996
13997,Black Sheep,8.963037,Black Sheep,6.0,1996
2086,Nick of Time,6.848591000000001,Nick of Time,6.1,1995
61548,The Journey of August King,0.41142399999999996,The Journey of August King,6.7,1995
9095,Mary Reilly,12.866139,Mary Reilly,5.7,1996
12158,Vampire in Brooklyn,9.071127,Vampire in Brooklyn,4.5,1995
9283,Beautiful Girls,4.670562,Beautiful Girls,6.6,1996
9208,Broken Arrow,14.957626000000001,Broken Arrow,5.7,1996
40154,A Midwinter's Tale,0.5133909999999999,A Midwinter's Tale,7.5,1995
406,La Haine,12.108196000000001,La Haine,7.9,1995
45549,Shopping,2.6576470000000003,Shopping,5.6,1994
63076,Heidi Fleiss: Hollywood Madam,0.638211,Heidi Fleiss: Hollywood Madam,6.8,1995
11062,City Hall,4.8072230000000005,City Hall,6.0,1996
13685,Bottle Rocket,6.904831,Bottle Rocket,6.8,1996
47475,Mr. Wrong,3.329264,Mr. Wrong,3.3,1996
2045,Unforgettable,2.464425,Unforgettable,5.3,1996
9614,Happy Gilmore,9.592265,Happy Gilmore,6.5,1996
688,The Bridges of Madison County,5.951077,The Bridges of Madison County,7.3,1995
11907,Keiner liebt mich,1.015068,Nobody Loves Me,5.1,1994
10874,Muppet Treasure Island,6.902423,Muppet Treasure Island,6.5,1996
89333,Catwalk,0.976707,Catwalk,7.0,1995
96357,Headless Body in Topless Bar,0.0013460000000000002,Headless Body in Topless Bar,6.102169981916822,1995
197,Braveheart,20.755149,Braveheart,7.7,1995
103,Taxi Driver,14.092713,Taxi Driver,8.1,1976
33542,紅番區,12.314278,Rumble in the Bronx,6.5,1995
43566,Before and After,2.938293,Before and After,5.8,1996
71754,Margaret's Museum,0.372697,Margaret's Museum,7.5,1995
43612,Le Bonheur est dans le pré,1.254885,Happiness Is in the Field,7.0,1995
51352,Anne Frank Remembered,0.243986,Anne Frank Remembered,7.3,1995
16934,The Young Poisoner's Handbook,6.178497,The Young Poisoner's Handbook,6.9,1995
10324,If Lucy Fell,2.891918,If Lucy Fell,5.4,1996
78406,Steal Big Steal Little,1.522412,Steal Big Steal Little,5.1,1995
55731,Race the Sun,1.317878,Race the Sun,5.2,1996
32119,The Boys of St. Vincent,0.86539,The Boys of St. Vincent,7.0,1992
11066,Boomerang,6.506983,Boomerang,5.4,1992
11104,重慶森林,6.778979,Chungking Express,7.9,1994
37975,L'uomo delle stelle,1.702639,The Star Maker,6.8,1995
2074,Flirting with Disaster,5.579088,Flirting with Disaster,6.3,1996
27793,The NeverEnding Story III,6.252377,The Neverending Story III: Escape from Fantasia,4.4,1994
44284,صمت القصور,0.406754,The Silences of the Palace,4.3,1994
290157,Jupiter's Wife,0.001178,Jupiter's Wife,6.102169981916822,1995
110972,Pie in the Sky,0.699066,Pie in the Sky,7.0,1996
32622,Angela,2.197439,Angela,5.6,1995
73067,Frankie Starlight,0.637554,Frankie Starlight,5.4,1995
11863,Jade,11.418917,Jade,5.1,1995
55475,Nueba Yol,0.29102100000000003,Nueba Yol,5.5,1995
124636,Sonic Outlaws,0.001838,Sonic Outlaws,6.102169981916822,1995
9101,Down Periscope,5.184977,Down Periscope,5.6,1996
123360,From the Journals of Jean Seberg,0.276401,From the Journals of Jean Seberg,6.5,1995
5757,Man of the Year,0.5404359999999999,Man of the Year,3.8,1995
39428,The Neon Bible,0.370342,The Neon Bible,7.2,1995
124639,Target,0.0012050000000000001,Target,6.102169981916822,1995
9302,Up Close & Personal,3.4027489999999996,Up Close & Personal,5.9,1996
11000,The Birdcage,6.499680000000001,The Birdcage,6.7,1996
249882,Gospa,0.9185040000000001,Virgin Mary,7.0,1995
16388,The Brothers McMullen,2.039196,The Brothers McMullen,6.3,1995
9737,Bad Boys,9.262184,Bad Boys,6.5,1995
30765,The Amazing Panda Adventure,2.375865,The Amazing Panda Adventure,5.0,1995
10474,The Basketball Diaries,7.415144000000001,The Basketball Diaries,7.2,1995
22279,An Awfully Big Adventure,0.922958,An Awfully Big Adventure,6.0,1995
30157,Amateur,1.7590119999999998,Amateur,6.5,1994
568,Apollo 13,18.761467,Apollo 13,7.3,1995
11780,Rob Roy,10.193549,Rob Roy,6.5,1995
34996,The Addiction,3.137285,The Addiction,6.4,1995
414,Batman Forever,13.321354000000001,Batman Forever,5.2,1995
649,Belle de jour,10.142662,Belle de Jour,7.3,1967
1873,Beyond Rangoon,2.04189,Beyond Rangoon,6.4,1995
5894,Blue in the Face,11.528147,Blue in the Face,6.8,1995
1775,Canadian Bacon,5.391556,Canadian Bacon,5.9,1995
8839,Casper,12.812539,Casper,6.0,1995
20649,Clockers,4.558992,Clockers,6.8,1995
10329,Congo,7.260574,Congo,5.0,1995
8963,Crimson Tide,8.657364999999999,Crimson Tide,7.0,1995
26564,Crumb,3.6203879999999997,Crumb,7.6,1994
8068,Desperado,6.950458,Desperado,6.8,1995
